file,kicad_netlist_file,group_netlist_file,csv_file,code_file,sym_count_in_root_sheet,annotated_symbols_in_root_sheet,comp_count,net_count,average_pins_per_group,groups,nets,nets_with_multiple_nodes,csv_lines,kicad-cli,kicad_group_netlister,code_gen,netlist_to_csv,test_case
./SmartPrintCoreH7x/SmartPrintCoreH7x/Storage.kicad_sch,./SmartPrintCoreH7x/SmartPrintCoreH7x/Storage.kicad_sch_kicad_netlist.xml,./SmartPrintCoreH7x/SmartPrintCoreH7x/Storage.kicad_sch_group_netlist.xml,./SmartPrintCoreH7x/SmartPrintCoreH7x/Storage.kicad_sch_spreadsheet.csv,./SmartPrintCoreH7x/SmartPrintCoreH7x/Storage.kicad_sch_code.h,19,3,14,16,2,3,4,2,7,0.156224579905393,0.00103973554796539,0.0025285001960583,0.000697375752497464,3
./SmartPrintCoreH7x/SmartPrintCoreH7x/SmartPrintCoreH7x.kicad_sch,./SmartPrintCoreH7x/SmartPrintCoreH7x/SmartPrintCoreH7x.kicad_sch_kicad_netlist.xml,./SmartPrintCoreH7x/SmartPrintCoreH7x/SmartPrintCoreH7x.kicad_sch_group_netlist.xml,./SmartPrintCoreH7x/SmartPrintCoreH7x/SmartPrintCoreH7x.kicad_sch_spreadsheet.csv,./SmartPrintCoreH7x/SmartPrintCoreH7x/SmartPrintCoreH7x.kicad_sch_code.h,84,14,565,416,6.52631578947368,38,140,25,249,0.424108387599699,0.0213585379999131,0.0168268751003779,0.00648880425142124,3
./SmartPrintCoreH7x/SmartPrintCoreH7x/power_and_translators.kicad_sch,./SmartPrintCoreH7x/SmartPrintCoreH7x/power_and_translators.kicad_sch_kicad_netlist.xml,./SmartPrintCoreH7x/SmartPrintCoreH7x/power_and_translators.kicad_sch_group_netlist.xml,./SmartPrintCoreH7x/SmartPrintCoreH7x/power_and_translators.kicad_sch_spreadsheet.csv,./SmartPrintCoreH7x/SmartPrintCoreH7x/power_and_translators.kicad_sch_code.h,290,49,206,75,7.25,8,23,8,59,0.224307064100867,0.00724656659876928,0.00569756359909661,0.0016967237519566,3
./SmartPrintCoreH7x/SmartPrintCoreH7x/Ports.kicad_sch,./SmartPrintCoreH7x/SmartPrintCoreH7x/Ports.kicad_sch_kicad_netlist.xml,./SmartPrintCoreH7x/SmartPrintCoreH7x/Ports.kicad_sch_group_netlist.xml,./SmartPrintCoreH7x/SmartPrintCoreH7x/Ports.kicad_sch_spreadsheet.csv,./SmartPrintCoreH7x/SmartPrintCoreH7x/Ports.kicad_sch_code.h,252,42,161,90,5.125,8,23,5,42,0.205635641451227,0.0055243665992748,0.00376415245118551,0.00140064244624227,3
./SmartPrintCoreH7x/SmartPrintCoreH7x/motors.kicad_sch,./SmartPrintCoreH7x/SmartPrintCoreH7x/motors.kicad_sch_kicad_netlist.xml,./SmartPrintCoreH7x/SmartPrintCoreH7x/motors.kicad_sch_group_netlist.xml,./SmartPrintCoreH7x/SmartPrintCoreH7x/motors.kicad_sch_spreadsheet.csv,./SmartPrintCoreH7x/SmartPrintCoreH7x/motors.kicad_sch_code.h,130,22,75,50,3.83333333333333,6,12,3,24,0.197440177749377,0.00293779639760032,0.003044967999449,0.00104067114880309,3
./satnogs-comms-hardware/MCU.kicad_sch,./satnogs-comms-hardware/MCU.kicad_sch_kicad_netlist.xml,./satnogs-comms-hardware/MCU.kicad_sch_group_netlist.xml,./satnogs-comms-hardware/MCU.kicad_sch_spreadsheet.csv,./satnogs-comms-hardware/MCU.kicad_sch_code.h,87,14,53,104,5.66666666666667,6,28,3,35,0.196303603198612,0.00375555279897526,0.00345375605393201,0.00117682050331496,3
./satnogs-comms-hardware/main_psu.kicad_sch,./satnogs-comms-hardware/main_psu.kicad_sch_kicad_netlist.xml,./satnogs-comms-hardware/main_psu.kicad_sch_group_netlist.xml,./satnogs-comms-hardware/main_psu.kicad_sch_spreadsheet.csv,./satnogs-comms-hardware/main_psu.kicad_sch_code.h,159,27,98,26,4.71428571428571,7,17,7,34,0.195223439403344,0.00379501974675804,0.00341487454716116,0.00115034005139023,3
./satnogs-comms-hardware/CAN.kicad_sch,./satnogs-comms-hardware/CAN.kicad_sch_kicad_netlist.xml,./satnogs-comms-hardware/CAN.kicad_sch_group_netlist.xml,./satnogs-comms-hardware/CAN.kicad_sch_spreadsheet.csv,./satnogs-comms-hardware/CAN.kicad_sch_code.h,12,2,8,12,2,1,2,0,3,0.160524505149806,0.000696218147641048,0.00239209230057895,0.00047220085398294,3
./satnogs-comms-hardware/RF.kicad_sch,./satnogs-comms-hardware/RF.kicad_sch_kicad_netlist.xml,./satnogs-comms-hardware/RF.kicad_sch_group_netlist.xml,./satnogs-comms-hardware/RF.kicad_sch_spreadsheet.csv,./satnogs-comms-hardware/RF.kicad_sch_code.h,134,22,312,106,5.78571428571429,28,40,15,163,0.295806265249848,0.013727847347036,0.030221682402771,0.00610849490039982,3
./satnogs-comms-hardware/FPGA.kicad_sch,./satnogs-comms-hardware/FPGA.kicad_sch_kicad_netlist.xml,./satnogs-comms-hardware/FPGA.kicad_sch_group_netlist.xml,./satnogs-comms-hardware/FPGA.kicad_sch_spreadsheet.csv,./satnogs-comms-hardware/FPGA.kicad_sch_code.h,53,9,30,64,2.66666666666667,3,8,0,9,0.189529387297807,0.0019739383016713,0.00287216255092062,0.000716172897955403,3
